0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
11.5,-6.21976,1.47285,9.55958e-07,0.000281543,0.3711,0.345707,0.283192,-6.21976,1.47285,9.55958e-07,0.000281543
11.6,-6.21783,1.47549,0.0319234,-0.00528122,0.340024,0.360382,0.299594,-6.21783,1.47549,0.0319234,-0.00528122
11.7,-6.21499,1.47311,0.0319234,-0.00528122,0.347374,0.35628,0.296347,-6.21499,1.47311,0.0319234,-0.00528122
11.8,-6.20168,1.47449,0.137471,0.0114678,0.31375,0.361718,0.324532,-6.20168,1.47449,0.137471,0.0114678
11.9,-6.19063,1.47064,0.137471,0.0114678,0.310778,0.363214,0.326008,-6.19063,1.47064,0.137471,0.0114678
12,-6.16452,1.46272,0.145335,-0.0180143,0.308941,0.352756,0.338303,-6.16452,1.46272,0.145335,-0.0180143
12.1,-6.15074,1.46412,0.145335,-0.0180143,0.308723,0.352683,0.338593,-6.15074,1.46412,0.145335,-0.0180143
12.2,-6.11735,1.46215,0.230578,-0.0155013,0.280208,0.398269,0.321522,-6.11735,1.46215,0.230578,-0.0155013
12.3,-6.09719,1.46509,0.230578,-0.0155013,0.279802,0.399084,0.321114,-6.09719,1.46509,0.230578,-0.0155013
12.4,-6.07424,1.46535,0.179355,-0.00461865,0.299165,0.351943,0.348893,-6.07424,1.46535,0.179355,-0.00461865
12.5,-6.03967,1.46738,0.179355,-0.00461865,0.289758,0.356601,0.353641,-6.03967,1.46738,0.179355,-0.00461865
12.6,-6.01302,1.46396,0.970966,-0.085293,0.301701,0.357649,0.340649,-6.01302,1.46396,0.970966,-0.085293
12.7,-5.98018,1.4565,0.970966,-0.085293,0.308669,0.357913,0.333418,-5.98018,1.4565,0.970966,-0.085293
12.8,-5.84999,1.4427,0.25496,-0.0152816,0.295655,0.382071,0.322273,-5.84999,1.4427,0.25496,-0.0152816
12.9,-5.85527,1.44593,0.25496,-0.0152816,0.285776,0.400746,0.313478,-5.85527,1.44593,0.25496,-0.0152816
13,-5.88294,1.44861,0.16976,-0.00602651,0.284655,0.39509,0.320255,-5.88294,1.44861,0.16976,-0.00602651
13.1,-5.88031,1.44879,0.16976,-0.00602651,0.283742,0.390732,0.325526,-5.88031,1.44879,0.16976,-0.00602651
13.2,-5.87748,1.44868,0.259146,0.0097588,0.276076,0.408108,0.315816,-5.87748,1.44868,0.259146,0.0097588
13.3,-5.8748,1.44642,0.259146,0.0097588,0.269366,0.423265,0.307369,-5.8748,1.44642,0.259146,0.0097588
13.4,-5.85459,1.45295,0.136776,-0.00695591,0.270811,0.418476,0.310712,-5.85459,1.45295,0.136776,-0.00695591
13.5,-5.85455,1.45079,0.136776,-0.00695591,0.272009,0.414485,0.313506,-5.85455,1.45079,0.136776,-0.00695591
13.6,-5.83538,1.44667,0.254736,-0.00366811,0.26772,0.424194,0.308087,-5.83538,1.44667,0.254736,-0.00366811
13.7,-5.82312,1.44811,0.254736,-0.00366811,0.263895,0.432912,0.303194,-5.82312,1.44811,0.254736,-0.00366811
